dataset,origin,Random,Saliency,GuidedBackprop,GI,DeepLift,DeepLiftShap,attn,rollout,EXITT,origin_1,Random_1,Saliency_1,GuidedBackprop_1,GI_1,DeepLift_1,DeepLiftShap_1,attn_1,rollout_1,EXITT_1,origin_2,Random_2,Saliency_2,GuidedBackprop_2,GI_2,DeepLift_2,DeepLiftShap_2,attn_2,rollout_2,EXITT_2
Earthquakes,0.799,0.784,0.662,0.705,0.669,0.647,0.647,0.777,0.784,0.59,0.7769784172661871,0.762589928057554,0.7482014388489209,0.7410071942446043,0.7410071942446043,0.7410071942446043,0.7410071942446043,0.7410071942446043,0.7482014388489209,0.7410071942446043,0.7841726618705036,0.7841726618705036,0.7482014388489209,0.7266187050359713,0.7266187050359713,0.7266187050359713,0.7266187050359713,0.7410071942446043,0.7410071942446043,0.7266187050359713
ECG200,0.91,0.86,0.88,0.63,0.58,0.59,0.590,0.76,0.79,0.63,0.86,0.82,0.73,0.63,0.44,0.41,0.41,0.73,0.71,0.36,0.86,0.82,0.73,0.59,0.44,0.46,0.46,0.64,0.59,0.32
ECG5000,0.939,0.936,0.923,0.929,0.846,0.701,0.939,0.608,0.603,0.597,0.8928888888888888,0.8935555555555555,0.8884444444444445,0.8788888888888889,0.8413333333333334,0.8213333333333334,0.8928888888888888,0.8544444444444445,0.8171111111111111,0.6515555555555556,0.8931111111111111,0.8922222222222222,0.6726666666666666,0.5886666666666667,0.8491111111111111,0.8195555555555556,0.8931111111111111,0.5837777777777777,0.5837777777777777,0.6135555555555555
ECGFiveDays,0.921,0.908,0.741,0.538,0.262,0.25,0.250,0.675,0.638,0.202,0.875725900116144,0.8710801393728222,0.6469221835075494,0.5203252032520326,0.1660859465737514,0.1858304297328687,0.1858304297328687,0.6538908246225319,0.5981416957026713,0.181184668989547,0.8745644599303136,0.8583042973286876,0.8304297328687572,0.9279907084785134,0.2090592334494773,0.1765389082462253,0.1765389082462253,0.4936120789779326,0.4936120789779326,0.0092915214866434
ElectricDevices,0.741,0.594,0.569,0.582,0.558,0.534,0.534,0.541,0.484,0.532,0.6990014265335235,0.5770976527039294,0.5405265205550512,0.5850084295162754,0.5219815847490598,0.4998054727013357,0.4998054727013357,0.4388535857865387,0.3627285695759304,0.5339125924004668,0.69303592270782,0.6005706134094151,0.5857865387109324,0.5983659706912203,0.5013616910906498,0.4769809363247309,0.4769809363247309,0.4418363376993904,0.3948904162884191,0.4867073012579432
FaceAll,0.764,0.753,0.654,0.567,0.272,0.295,0.764,0.395,0.395,0.201,0.7207100591715976,0.6988165680473373,0.3828402366863905,0.4544378698224852,0.1207100591715976,0.0745562130177514,0.7207100591715976,0.1923076923076923,0.1355029585798816,0.0751479289940828,0.7142011834319527,0.7017751479289941,0.58698224852071,0.6094674556213018,0.2532544378698225,0.2301775147928994,0.7142011834319527,0.2751479289940828,0.3272189349112426,0.1218934911242603
FaceFour,0.966,0.864,0.398,0.773,0.682,0.648,0.966,0.727,0.568,0.159,0.9204545454545454,0.8863636363636364,0.5909090909090909,0.6704545454545454,0.4090909090909091,0.3181818181818182,0.9204545454545454,0.6022727272727273,0.4431818181818182,0.3409090909090909,0.9431818181818182,0.9204545454545454,0.5568181818181818,0.7613636363636364,0.5340909090909091,0.4318181818181818,0.9431818181818182,0.5681818181818182,0.5113636363636364,0.375
FacesUCR,0.862,0.844,0.684,0.709,0.479,0.441,0.441,0.362,0.434,0.279,0.8160975609756097,0.7790243902439025,0.5478048780487805,0.7136585365853658,0.3258536585365854,0.3414634146341463,0.3414634146341463,0.3634146341463414,0.4375609756097561,0.1770731707317073,0.8141463414634146,0.7897560975609756,0.6317073170731707,0.7517073170731707,0.3619512195121951,0.3121951219512195,0.3121951219512195,0.4848780487804878,0.4863414634146341,0.2078048780487804
FiftyWords,0.721,0.688,0.343,0.556,0.244,0.209,0.209,0.499,0.433,0.248,0.676923076923077,0.6351648351648351,0.3494505494505494,0.5164835164835165,0.2901098901098901,0.2835164835164835,0.2835164835164835,0.5230769230769231,0.5032967032967033,0.2505494505494505,0.6835164835164835,0.6043956043956044,0.4021978021978022,0.5274725274725275,0.2527472527472527,0.2505494505494505,0.2505494505494505,0.5252747252747253,0.3824175824175824,0.1824175824175824
Fish,0.817,0.709,0.194,0.24,0.149,0.131,0.131,0.171,0.137,0.126,0.7714285714285715,0.7314285714285714,0.32,0.3371428571428571,0.1371428571428571,0.1085714285714285,0.1085714285714285,0.5771428571428572,0.2171428571428571,0.0685714285714285,0.7714285714285715,0.72,0.2685714285714285,0.4742857142857143,0.2628571428571428,0.1714285714285714,0.1714285714285714,0.2685714285714285,0.3028571428571429,0.2228571428571428
